time; pid; rtt; vtt 
2024-06-11 13:11:04,004; 38804; 199102464.00; 4536430592.00
2024-06-11 13:11:04,008; 38804; 199102464.00; 4536430592.00
2024-06-11 13:11:04,012; 38804; 199180288.00; 4536430592.00
2024-06-11 13:11:04,016; 38804; 199274496.00; 4536430592.00
2024-06-11 13:11:04,023; 38804; 199274496.00; 4536430592.00
2024-06-11 13:11:04,029; 38804; 199274496.00; 4536430592.00
2024-06-11 13:11:04,035; 38804; 199352320.00; 4536430592.00
2024-06-11 13:11:04,040; 38804; 199434240.00; 4536430592.00
2024-06-11 13:11:04,048; 38804; 199434240.00; 4536430592.00
2024-06-11 13:11:04,052; 38804; 199434240.00; 4536430592.00
2024-06-11 13:11:04,057; 38804; 199434240.00; 4536430592.00
2024-06-11 13:11:04,063; 38804; 200998912.00; 4536430592.00
2024-06-11 13:11:04,069; 38804; 200998912.00; 4536430592.00
2024-06-11 13:11:04,072; 38804; 201072640.00; 4536430592.00
2024-06-11 13:11:04,076; 38804; 201072640.00; 4536430592.00
2024-06-11 13:11:04,080; 38804; 201093120.00; 4536430592.00
2024-06-11 13:11:04,084; 38804; 201093120.00; 4536430592.00
2024-06-11 13:11:04,087; 38804; 201093120.00; 4536430592.00
2024-06-11 13:11:04,091; 38804; 201175040.00; 4536430592.00
2024-06-11 13:11:04,095; 38804; 201175040.00; 4536430592.00
2024-06-11 13:11:04,099; 38804; 201175040.00; 4536430592.00
2024-06-11 13:11:04,103; 38804; 201175040.00; 4536430592.00
2024-06-11 13:11:04,106; 38804; 201175040.00; 4536430592.00
2024-06-11 13:11:04,110; 38804; 201297920.00; 4536430592.00
2024-06-11 13:11:04,113; 38804; 201297920.00; 4536430592.00
2024-06-11 13:11:04,117; 38804; 201297920.00; 4536430592.00
2024-06-11 13:11:04,120; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,124; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,127; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,131; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,135; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,138; 38804; 201375744.00; 4536430592.00
2024-06-11 13:11:04,142; 38804; 201453568.00; 4536430592.00
2024-06-11 13:11:04,145; 38804; 201564160.00; 4536430592.00
2024-06-11 13:11:04,149; 38804; 201670656.00; 4536430592.00
2024-06-11 13:11:04,153; 38804; 201670656.00; 4536430592.00
2024-06-11 13:11:04,156; 38804; 201707520.00; 4536430592.00
2024-06-11 13:11:04,160; 38804; 201777152.00; 4536430592.00
2024-06-11 13:11:04,163; 38804; 201777152.00; 4536430592.00
2024-06-11 13:11:04,167; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,170; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,174; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,178; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,182; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,185; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,189; 38804; 201846784.00; 4536430592.00
2024-06-11 13:11:04,192; 38804; 202117120.00; 4536430592.00
2024-06-11 13:11:04,196; 38804; 202117120.00; 4536430592.00
2024-06-11 13:11:04,200; 38804; 202117120.00; 4536430592.00
